Model,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual
Bream Lagged Winds,0.354115417,0.273379844,116.8206618,4.386113884,0.069550869,2,-60.68006712,127.3601342,128.2678895,109176.5362,8
Bream Lagged Winds and Current Rain,0.362066544,0.179799842,124.1154557,1.986465662,0.207354673,3,-60.61813288,129.2362658,130.4466061,107832.5244,7
Bream Lagged Winds and Lagged Rain,0.371668704,0.192145476,123.1778225,2.070309836,0.196634818,3,-60.54230084,129.0846017,130.2949421,106209.4318,7
Bream Lagged Winds and Current Wind,0.594825111,0.479060857,98.91438105,5.138245097,0.042339802,3,-58.34855699,124.697114,125.9074544,68488.38344,7
Blackfish Lagged Winds,0.37776643,0.299987234,28.69677348,4.856908383,0.058641739,2,-46.64151452,99.28302903,100.1907843,6588.038465,8
Blackfish Lagged Winds and Current Rain,0.383467794,0.207315735,30.53726994,2.176913496,0.184011594,3,-46.59548964,101.1909793,102.4013197,6527.673986,7
Blackfish Lagged Winds and Lagged Rain,0.377773367,0.199994329,30.67797028,2.124960124,0.190029089,3,-46.64145878,101.2829176,102.4932579,6587.965023,7
Blackfish Lagged Winds and Current Wind,0.548528692,0.41953689,26.13168424,4.252430635,0.061830897,3,-45.03749595,98.0749919,99.28533227,4780.05445,7
Whiting Lagged Winds,0.162090532,0.057351849,6.129537196,1.547570838,0.248707494,2,-31.20486006,68.40972013,69.31747541,300.5698099,8
Whiting Lagged Winds and Current Rain,0.167897019,-0.06984669,6.530007026,0.706210142,0.525556938,3,-31.1700908,70.34018161,71.55052198,298.4869423,7
Whiting Lagged Winds and Lagged Rain,0.231099899,0.011414156,6.277114756,1.051956746,0.398606808,3,-30.77511502,69.55023005,70.76057042,275.8151876,7
Whiting Lagged Winds and Current Wind,0.273622346,0.066085873,6.101074766,1.318430166,0.326639471,3,-30.49066008,68.98132016,70.19166053,260.5617931,7
Flathead Lagged Winds,0.269945025,0.178688153,24.85307321,2.958078879,0.123763119,2,-45.20348173,96.40696346,97.31471874,4941.401986,8
Flathead Lagged Winds and Current Rain,0.277710277,0.071341784,26.42737384,1.345700953,0.320250654,3,-45.15001422,98.30002844,99.51036881,4888.842615,7
Flathead Lagged Winds and Lagged Rain,0.386985303,0.211838247,24.34634285,2.209487913,0.180363271,3,-44.32982709,96.65965417,97.86999454,4149.210872,7
Flathead Lagged Winds and Current Wind,0.325689934,0.133029915,25.5345443,1.690490514,0.251772765,3,-44.80633275,97.6126655,98.82300587,4564.090669,7
Mullet Lagged Winds,0.165560644,0.061255724,253.4145541,1.587275502,0.243225054,2,-68.42393459,142.8478692,143.7556245,513751.4897,8
Mullet Lagged Winds and Current Rain,0.223992925,0.002276617,261.2540176,1.010268155,0.411651672,3,-68.06094243,144.1218849,145.3322252,477775.6321,7
Mullet Lagged Winds and Lagged Rain,0.299717597,0.09963691,248.1799793,1.497983648,0.287379806,3,-67.54755267,143.0951053,144.3054457,431153.115,7
Mullet Lagged Winds and Current Wind,0.214575748,-0.009831181,262.8344516,0.956190388,0.429403,3,-68.12125434,144.2425087,145.452849,483573.6427,7
