"Model","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual"
"Blackfish Lagged Winds",0.172328009791291,0.0688690110152018,30.370836217389,1.66566477377431,0.232887851950386,2,-47.2084957054915,100.416991410983,101.324746689965,7379.10154034775,8
"Blackfish Lagged Winds and Current Rain",0.349630415108358,0.163810533710746,28.7808559348967,1.88155547446632,0.221850688129111,3,-46.0031150286718,100.006230057344,101.21657042932,5798.36367841694,7
"Blackfish Lagged Winds and Current Wind",0.247170047463786,0.0320757753105817,30.9650680718645,1.14912426532556,0.370202301609987,3,-46.7346079397152,101.46921587943,102.679556251407,6711.84808486642,7
"Blackfish Lagged Winds and Current Wind and Current Rain",0.401467590503883,0.102201385755824,29.8222787184145,1.34150660560508,0.34638131889616,4,-45.5878144351387,101.175628870277,102.688554335248,5336.20984775277,6
"Bream Lagged Winds",0.0346921915244021,-0.0859712845350478,48.6307804396162,0.287511951895945,0.606402951380205,2,-51.9162343035631,109.832468607126,110.740223886108,18919.6224493293,8
"Bream Lagged Winds and Current Rain",0.142208743091551,-0.102874473168005,49.0077891347392,0.580246763780611,0.584568829005006,3,-51.3258030864628,110.651606172926,111.861946544902,16812.3437711254,7
"Bream Lagged Winds and Current Wind",0.650177625984471,0.550228376265748,31.2966674004673,6.50507760502657,0.0253201654726932,3,-46.8411268028426,101.682253605685,102.892593977661,6856.36973262833,7
"Bream Lagged Winds and Current Wind and Current Rain",0.698469797185443,0.547704695778164,31.3843477929158,4.63283472544875,0.0527192079613574,4,-46.0983501202184,102.196700240437,103.709625705407,5909.86371832019,6
"Flathead Lagged Winds",0.249495142421174,0.155682035223821,19.3458752845525,2.659491300041,0.141579896274073,2,-42.6984599071175,91.396919814235,92.3046750932172,2994.10312420366,8
"Flathead Lagged Winds and Current Rain",0.285876510313356,0.0818412275457435,20.1741043432852,1.40111311355378,0.307756061173632,3,-42.4500088002099,92.9000176004197,94.1103579723959,2848.9614023763,7
"Flathead Lagged Winds and Current Wind",0.438844416739083,0.278514250093106,17.8833652883347,2.73712942435899,0.132370591381649,3,-41.2447202850166,90.4894405700331,91.6997809420093,2238.70327825209,7
"Flathead Lagged Winds and Current Wind and Current Rain",0.449328476173427,0.17399271426014,19.1349489421253,1.63192922361802,0.278767343341739,4,-41.1504217189818,92.3008434379635,93.8137689029338,2196.87762610645,6
"Mullet Lagged Winds",0.397316004858684,0.32198050546602,69.9484704088805,5.27395461716912,0.050746603648693,2,-55.5512559149904,117.102511829981,118.010267108963,39142.3081003363,8
"Mullet Lagged Winds and Current Rain",0.403453530575824,0.233011682168916,74.3963289698693,2.36710370338528,0.163966444384522,3,-55.5000766005417,119.000153201083,120.21049357306,38743.6963493511,7
"Mullet Lagged Winds and Current Wind",0.400446827077049,0.229145920527634,74.5835788870047,2.33768072302369,0.166877186800957,3,-55.5252142205647,119.050428441129,120.260768813106,38938.9716771584,7
"Mullet Lagged Winds and Current Wind and Current Rain",0.408837184874354,0.113255777311531,79.9937977007654,1.38316272408798,0.335488771712043,4,-55.4547482424962,120.909496484992,122.422421949963,38394.0460235459,6
"Whiting Lagged Winds",0.0235158160426986,-0.098544706951964,5.07138882762074,0.192657015272062,0.67232748190243,2,-29.3098146813574,64.6196293627148,65.5273846416969,205.751877127332,8
"Whiting Lagged Winds and Current Rain",0.141077165807793,-0.104329358247123,5.08472360493378,0.574871293055858,0.587272303790609,3,-28.6684173427994,65.3368346855987,66.5471750575749,180.980898969995,7
"Whiting Lagged Winds and Current Wind",0.401027257158335,0.229892187775003,4.24613508091013,2.34333768410762,0.166312429825158,3,-26.8661023769618,61.7322047539236,62.9425451258998,126.20764187735,7
"Whiting Lagged Winds and Current Wind and Current Rain",0.451598227131439,0.177397340697159,4.38846961959841,1.64696122249655,0.275748293193157,4,-26.4250628161753,62.8501256323505,64.3630510973208,115.551993612829,6
