Parameter,Estimate,se,z value,Pr(>|z|),Model
Intercept,-6.263711603,0.451571996,-13.87090355,9.51E-44,14 Day
SE winds,-4.173611409,7.848761948,-0.531754108,0.594896311,14 Day
SE winds (quadratic),-24.13462914,5.928406029,-4.071014877,4.68E-05,14 Day
NE winds,26.175406,6.304375643,4.151942631,3.30E-05,14 Day
SE winds * NE winds,1884.273273,471.7235387,3.994444029,6.48E-05,14 Day
NE winds (quadratic),-36.03361589,6.999276105,-5.148191806,2.63E-07,14 Day
Distance to coast,-0.005197477,0.016411049,-0.316705966,0.751466722,14 Day
SE winds * Distance to coast,0.898052376,0.552381715,1.625782229,0.10399599,14 Day
SE winds (quadratic) * Distance to coast,0.116353761,0.413661756,0.281277538,0.778497537,14 Day
NE winds * Distance to coast,-0.460836669,0.497203928,-0.926856453,0.35400107,14 Day
SE winds * NE winds * Distance to coast,-28.24436882,27.89524171,-1.012515651,0.311291567,14 Day
NE winds (quadratic) * Distance to coast,0.318009452,0.477939462,0.665376009,0.505810026,14 Day
